/nvme/yuanjingyang/CG-ODE/DGCRN/run_DGCRN_covid.py
/nvme/yuanjingyang/CG-ODE/DGCRN/run_DGCRN_covid.py
Namespace(save='experiments/', load=None, dataset='Dec', datapath='data/', pred_length=14, condition_length=21, features='Confirmed,Deaths,Recovered,Mortality_Rate,Testing_Rate,Population,Mobility', split_interval=3, feature_out='Deaths', niters=100, lr=0.005, batch_size=1, random_seed=1991, dropout=0.2, l2=1e-05, optimizer='AdamW', clip=10, edge_lamda=0.5, z0_encoder='GTrans', rec_dims=64, ode_dims=20, rec_layers=1, gen_layers=1, augment_dim=0, solver='rk4', rtol=0.01, atol=0.01, alias='run', output_dim=1, feature_out_index=[1], num_atoms=50)
run
Epoch: 026, Train Loss: 16.7168, Train MAPE: 1.7491, Train RMSE: 32.9286, Train MAE: 16.7168                            , Valid Loss: 28.0006, Valid MAPE: 1.0901, Valid RMSE: 44.3685, Valid MAE/epoch
Epoch: 027, Train Loss: 16.7111, Train MAPE: 1.7284, Train RMSE: 32.9590, Train MAE: 16.7111                            , Valid Loss: 27.9364, Valid MAPE: 1.0966, Valid RMSE: 44.3018, Valid MAE/epoch
Epoch: 028, Train Loss: 16.7325, Train MAPE: 1.7333, Train RMSE: 32.9715, Train MAE: 16.7325                            , Valid Loss: 28.1052, Valid MAPE: 1.0789, Valid RMSE: 44.4780, Valid MAE/epoch
Epoch: 029, Train Loss: 16.6987, Train MAPE: 1.7418, Train RMSE: 32.9247, Train MAE: 16.6987                            , Valid Loss: 27.9011, Valid MAPE: 1.1005, Valid RMSE: 44.2650, Valid MAE/epoch
Epoch: 030, Train Loss: 16.7166, Train MAPE: 1.7516, Train RMSE: 32.9236, Train MAE: 16.7166                            , Valid Loss: 28.0186, Valid MAPE: 1.0882, Valid RMSE: 44.3872, Valid MAE/epoch
Epoch: 031, Train Loss: 16.7103, Train MAPE: 1.7191, Train RMSE: 32.9749, Train MAE: 16.7103                            , Valid Loss: 28.0825, Valid MAPE: 1.0810, Valid RMSE: 44.4552, Valid MAE/epoch
Epoch: 032, Train Loss: 16.7007, Train MAPE: 1.7005, Train RMSE: 32.9958, Train MAE: 16.7007                            , Valid Loss: 28.0657, Valid MAPE: 1.0831, Valid RMSE: 44.4367, Valid MAE/epoch
Epoch: 033, Train Loss: 16.6809, Train MAPE: 1.7101, Train RMSE: 32.9620, Train MAE: 16.6809                            , Valid Loss: 27.9007, Valid MAPE: 1.1004, Valid RMSE: 44.2650, Valid MAE/epoch
Epoch: 034, Train Loss: 16.7109, Train MAPE: 1.7200, Train RMSE: 32.9733, Train MAE: 16.7109                            , Valid Loss: 28.0023, Valid MAPE: 1.0895, Valid RMSE: 44.3712, Valid MAE/epoch
Epoch: 035, Train Loss: 16.7220, Train MAPE: 1.7711, Train RMSE: 32.8951, Train MAE: 16.7220                            , Valid Loss: 27.9823, Valid MAPE: 1.0920, Valid RMSE: 44.3499, Valid MAE/epoch
Epoch: 036, Train Loss: 16.7085, Train MAPE: 1.7400, Train RMSE: 32.9362, Train MAE: 16.7085                            , Valid Loss: 27.9900, Valid MAPE: 1.0909, Valid RMSE: 44.3591, Valid MAE/epoch
Epoch: 037, Train Loss: 16.7091, Train MAPE: 1.7360, Train RMSE: 32.9431, Train MAE: 16.7091                            , Valid Loss: 28.0065, Valid MAPE: 1.0894, Valid RMSE: 44.3746, Valid MAE/epoch
Epoch: 038, Train Loss: 16.7039, Train MAPE: 1.7325, Train RMSE: 32.9458, Train MAE: 16.7039                            , Valid Loss: 27.9603, Valid MAPE: 1.0942, Valid RMSE: 44.3274, Valid MAE/epoch
Epoch: 039, Train Loss: 16.7070, Train MAPE: 1.7456, Train RMSE: 32.9257, Train MAE: 16.7070                            , Valid Loss: 27.9599, Valid MAPE: 1.0945, Valid RMSE: 44.3266, Valid MAE/epoch
Epoch: 040, Train Loss: 16.7104, Train MAPE: 1.7421, Train RMSE: 32.9338, Train MAE: 16.7104                            , Valid Loss: 27.9958, Valid MAPE: 1.0911, Valid RMSE: 44.3623, Valid MAE/epoch
